cntr_01,dist_x,pang_x,catalogid_01,ra_01,dec_01,gaia_dr3_source_id_01,snr_snowwhite_01,wd_type_01,teff_snowwhite_01,e_teff_snowwhite_01,logg_snowwhite_01,e_logg_snowwhite_01,spec_file_01,sn_median_all_01,mjd_01,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ext_flg,var_flg,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
40,0.504150,113.551135,2.7021598865E+16,2.9953622437E+02,1.4798971415E+00,4.2407107652E+18,3.3962764740E+01,DA,3.2587552734E+04,1.2900431824E+02,8.4043159485E+00,4.2746373219E-04,spec-100980-59838-27021598864782315.fits,1.7433357239E+01,59838,J195808.72+012847.4,299.5363528,1.4798412,0.5743,0.6145,-0.1757,16.275,0.104,10.5,1.192E+00,16.096,0.243,4.5,9.949E-01,12.804,null,-1.1,9.929E-01,9.144,null,-0.3,9.106E-01,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,0000,6,13,0,13,0,13,0,13,null,null,null,null,null,null,null
185,0.209278,-141.557180,2.7021597905E+16,2.4527700806E+02,4.3690742493E+01,1.3824827649E+18,2.2079565430E+02,DA,2.6808636719E+04,1.2607144928E+02,8.0262231827E+00,1.2077274732E-04,spec-104636-59708-27021597905230062.fits,1.8784193039E+01,59708,J162106.46+434126.5,245.2769581,43.6906970,1.0922,1.1976,0.1918,18.177,0.182,6.0,8.536E-01,17.981,null,-0.1,9.719E-01,13.647,null,0.2,9.849E-01,9.986,null,-1.0,1.037E+00,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,0000,2,64,0,64,0,62,0,62,null,null,null,null,null,null,null
186,0.209278,-141.557180,2.7021597905E+16,2.4527700806E+02,4.3690742493E+01,1.3824827649E+18,2.2079565430E+02,DA,2.6808636719E+04,1.2607144928E+02,8.0262231827E+00,1.2077274732E-04,spec-104636-59755-27021597905230062.fits,1.4632853508E+01,59755,J162106.46+434126.5,245.2769581,43.6906970,1.0922,1.1976,0.1918,18.177,0.182,6.0,8.536E-01,17.981,null,-0.1,9.719E-01,13.647,null,0.2,9.849E-01,9.986,null,-1.0,1.037E+00,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,0000,2,64,0,64,0,62,0,62,null,null,null,null,null,null,null
224,0.278989,-0.541650,2.7021597960E+16,3.8963920593E+01,1.3124582767E+00,2.5020972835E+18,7.1897454834E+02,DA,3.7735937500E+04,3.1020762920E+00,6.5000000000E+00,0.0000000000E+00,spec-104652-59881-27021597960182507.fits,2.1965703964E+01,59881,J023551.34+011845.1,38.9639199,1.3125358,0.1865,0.1907,-0.0505,15.231,0.036,30.5,9.185E-01,15.386,0.114,9.5,9.959E-01,12.978,null,-0.5,9.048E-01,9.451,null,-2.8,9.468E-01,1,0,0.000,0.000,0.000,0.000,0000,0,01nn,1355,28,28,6,27,0,24,0,27,1098747559,15.438,0.047,15.206,0.071,15.208,0.135
225,0.278989,-0.541650,2.7021597960E+16,3.8963920593E+01,1.3124582767E+00,2.5020972835E+18,7.1897454834E+02,DA,3.7735937500E+04,3.1020762920E+00,6.5000000000E+00,0.0000000000E+00,spec-104652-59935-27021597960182507.fits,2.7767240524E+01,59935,J023551.34+011845.1,38.9639199,1.3125358,0.1865,0.1907,-0.0505,15.231,0.036,30.5,9.185E-01,15.386,0.114,9.5,9.959E-01,12.978,null,-0.5,9.048E-01,9.451,null,-2.8,9.468E-01,1,0,0.000,0.000,0.000,0.000,0000,0,01nn,1355,28,28,6,27,0,24,0,27,1098747559,15.438,0.047,15.206,0.071,15.208,0.135
239,0.779335,52.645291,2.7021598151E+16,1.5729040527E+02,2.0979113579E+00,3.8556317971E+18,3.6745811462E+01,DA,1.2739853516E+04,1.0154104233E+01,8.0318841934E+00,1.8254753377E-04,spec-101262-59950-27021598151249520.fits,2.4777591705E+01,59950,J102909.73+020552.9,157.2905775,2.0980427,0.1550,0.1642,0.0218,14.521,0.033,32.9,1.067E+00,14.606,0.067,16.1,1.078E+00,12.235,null,1.1,8.082E-01,8.492,null,2.0,1.106E+00,1,0,0.000,0.000,0.000,0.000,0000,0,01nn,1111,16,16,13,16,0,16,0,16,808894299,14.461,0.030,14.485,0.041,14.419,0.095
253,0.336825,-20.196228,2.7021598726E+16,3.1004696655E+02,-3.2791163921E+00,4.2246432925E+18,3.9491428375E+01,DA,1.6289694336E+04,3.9677127838E+01,7.9205141068E+00,1.6823390615E-04,spec-101058-59840-27021598725738357.fits,2.7227657318E+01,59840,J204011.26-031644.5,310.0469342,-3.2790286,0.3749,0.4045,-0.1123,15.938,0.067,16.1,8.251E-01,16.285,0.298,3.6,9.811E-01,12.553,null,-1.9,9.378E-01,9.154,null,-0.8,1.147E+00,1,0,0.000,0.000,0.000,0.000,0000,0,1nnn,1111,13,15,2,15,0,15,0,15,90182074,15.606,0.051,15.858,0.165,15.544,0.195
330,0.406013,6.324236,4.5926839390E+09,1.3923072815E+02,4.1922326088E+00,5.7938109384E+17,1.0746514130E+02,DA,1.5904552734E+04,6.6432726383E-01,7.4762067795E+00,6.0286653024E-05,spec-015262-59308-4592683939.fits,3.7833099365E+01,59308,J091655.37+041132.4,139.2307406,4.1923447,1.0918,1.2128,0.1807,17.165,0.191,5.7,7.666E-01,16.856,0.514,2.1,8.199E-01,12.563,null,-0.5,8.235E-01,8.929,null,0.1,9.956E-01,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,0000,1,11,0,11,0,10,0,10,null,null,null,null,null,null,null
331,0.406013,6.324236,4.5926839390E+09,1.3923072815E+02,4.1922326088E+00,5.7938109384E+17,1.0746514130E+02,DA,1.5904552734E+04,6.6432726383E-01,7.4762067795E+00,6.0286653024E-05,spec-015263-59309-4592683939.fits,3.7376281738E+01,59309,J091655.37+041132.4,139.2307406,4.1923447,1.0918,1.2128,0.1807,17.165,0.191,5.7,7.666E-01,16.856,0.514,2.1,8.199E-01,12.563,null,-0.5,8.235E-01,8.929,null,0.1,9.956E-01,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,0000,1,11,0,11,0,10,0,10,null,null,null,null,null,null,null
332,0.406013,6.324236,4.5926839390E+09,1.3923072815E+02,4.1922326088E+00,5.7938109384E+17,1.0746514130E+02,DA,1.5904552734E+04,6.6432726383E-01,7.4762067795E+00,6.0286653024E-05,spec-015263-59315-4592683939.fits,4.2850311279E+01,59315,J091655.37+041132.4,139.2307406,4.1923447,1.0918,1.2128,0.1807,17.165,0.191,5.7,7.666E-01,16.856,0.514,2.1,8.199E-01,12.563,null,-0.5,8.235E-01,8.929,null,0.1,9.956E-01,1,0,0.000,0.000,0.000,0.000,0000,0,nnnn,0000,1,11,0,11,0,10,0,10,null,null,null,null,null,null,null
