cntr_01,dist_x,pang_x,catalogid_01,ra_01,dec_01,gaia_dr3_source_id_01,snr_snowwhite_01,wd_type_01,teff_snowwhite_01,e_teff_snowwhite_01,logg_snowwhite_01,e_logg_snowwhite_01,spec_file_01,sn_median_all_01,mjd_01,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m
2,9.762327,-48.429634,4.3262160000E+09,1.6303913116E+01,8.5355789185E+01,5.7377949012E+17,1.5676339149E+01,DA,1.7813910156E+04,2.9415411377E+02,8.1069107056E+00,4.4112812611E-04,spec-015194-59243-4326216000.fits,3.2395472527E+00,59243,J010506.92+852127.3,16.2788469,85.3575881,0.0589,0.0576,0.0051,14.376,0.027,39.7,8.940E-01,14.450,0.039,27.8,8.547E-01,12.974,null,0.2,9.944E-01,9.276,null,-0.7,8.995E-01,1,0,0.000,0.000,0.000,0.000,-52,114,19,106,0000,0,00nn,AAUU,0000,54,54,54,54,0,24,0,24
3,9.762327,-48.429634,4.3262160000E+09,1.6303913116E+01,8.5355789185E+01,5.7377949012E+17,1.5676339149E+01,DA,1.7813910156E+04,2.9415411377E+02,8.1069107056E+00,4.4112812611E-04,spec-015350-59329-4326216000.fits,1.1403948784E+01,59329,J010506.92+852127.3,16.2788469,85.3575881,0.0589,0.0576,0.0051,14.376,0.027,39.7,8.940E-01,14.450,0.039,27.8,8.547E-01,12.974,null,0.2,9.944E-01,9.276,null,-0.7,8.995E-01,1,0,0.000,0.000,0.000,0.000,-52,114,19,106,0000,0,00nn,AAUU,0000,54,54,54,54,0,24,0,24
4,0.320016,66.006506,4.5463142800E+09,1.2103242493E+02,2.1809814453E+01,6.7102985049E+17,1.3292489052E+01,DA,6.6973945312E+03,5.6627349854E+01,7.6167249680E+00,8.8748673443E-04,spec-015051-59204-4546314280.fits,9.3318624496E+00,59204,J080407.80+214835.4,121.0325124,21.8098506,0.2637,0.2921,0.0193,16.729,0.089,12.1,1.132E+00,16.699,null,1.4,1.027E+00,11.724,null,1.7,8.881E-01,8.559,null,0.8,1.143E+00,1,0,0.000,0.000,0.000,0.000,340,1072,-815,1190,0000,0,nnnn,AUUU,1100,8,24,0,24,0,12,0,12
5,6.979057,-25.991939,2.7021598147E+16,2.0647134399E+02,-1.7620600462E+00,3.6585563594E+18,9.7977790833E+00,DA,8.5225039062E+03,1.0557337761E+01,7.2951655388E+00,1.7627938651E-03,spec-103296-59647-27021598146874635.fits,7.0585093498E+00,59647,J134552.91-014537.1,206.4704940,-1.7603175,0.0393,0.0370,-0.0092,11.406,0.023,48.0,1.139E+00,11.445,0.021,51.1,9.573E-01,11.386,0.169,6.4,9.124E-01,9.145,null,-0.8,9.185E-01,1,0,0.000,0.000,0.000,0.000,-106,32,29,32,0000,0,01nn,AABU,1111,30,30,30,30,3,20,0,20
8,1.116345,-159.372812,2.7021597971E+16,6.2628944397E+01,-1.8114591837E+00,3.2526775862E+18,5.6163093567E+01,DA,1.6627458984E+04,1.2521995544E+01,8.3446226120E+00,2.0515752840E-04,spec-103608-59905-27021597970777399.fits,1.5312663078E+01,59905,J041030.92-014842.2,62.6288351,-1.8117494,0.4487,0.4788,-0.1394,17.368,0.149,7.3,9.370E-01,16.958,null,1.0,8.931E-01,11.862,null,1.1,9.580E-01,8.860,null,-1.2,9.553E-01,1,0,0.000,0.000,0.000,0.000,1073,1994,1331,2127,0000,0,nnnn,BUUU,0000,2,26,0,26,1,11,0,11
9,1.116345,-159.372812,2.7021597971E+16,6.2628944397E+01,-1.8114591837E+00,3.2526775862E+18,5.6163093567E+01,DA,1.6627458984E+04,1.2521995544E+01,8.3446226120E+00,2.0515752840E-04,spec-103608-59906-27021597970777399.fits,1.5108232498E+01,59906,J041030.92-014842.2,62.6288351,-1.8117494,0.4487,0.4788,-0.1394,17.368,0.149,7.3,9.370E-01,16.958,null,1.0,8.931E-01,11.862,null,1.1,9.580E-01,8.860,null,-1.2,9.553E-01,1,0,0.000,0.000,0.000,0.000,1073,1994,1331,2127,0000,0,nnnn,BUUU,0000,2,26,0,26,1,11,0,11
10,8.366622,40.153203,2.7021598722E+16,3.0502703857E+02,-6.0154266357E+00,4.2172453617E+18,3.2809501648E+01,DA,1.1356286133E+04,5.9709926605E+01,8.0054035187E+00,6.2347878702E-04,spec-101027-59839-27021598721753901.fits,8.6096839905E+00,59839,J202006.85-060049.1,305.0285455,-6.0136503,0.0992,0.1014,-0.0238,15.057,0.039,27.5,9.644E-01,15.108,0.086,12.6,9.424E-01,12.006,null,0.9,9.935E-01,8.749,null,-1.3,9.948E-01,1,0,0.000,0.000,0.000,0.000,42,286,35,301,0000,0,01nn,AAUU,1111,23,23,13,23,0,12,0,12
11,8.694965,127.721332,4.3472738690E+09,2.5325146484E+02,7.2150932312E+01,1.6535419993E+18,8.1883211136E+00,DA,1.3104548828E+04,1.0438346100E+02,8.0435562134E+00,1.5279449290E-03,spec-015369-59335-4347273869.fits,6.0852208138E+00,59335,J165301.84+720858.0,253.2576973,72.1494545,0.1446,0.1349,-0.0334,16.740,0.051,21.4,9.659E-01,16.442,0.115,9.5,9.022E-01,13.431,null,-1.7,8.592E-01,9.801,null,-1.2,9.474E-01,1,0,0.002,0.000,0.000,0.000,-40,538,-189,499,dd00,0,0nnn,ABUU,0000,45,100,4,100,0,54,0,54
12,8.694965,127.721332,4.3472738690E+09,2.5325146484E+02,7.2150932312E+01,1.6535419993E+18,8.1883211136E+00,DA,1.3104548828E+04,1.0438346100E+02,8.0435562134E+00,1.5279449290E-03,spec-015369-59360-4347273869.fits,2.4652876854E+00,59360,J165301.84+720858.0,253.2576973,72.1494545,0.1446,0.1349,-0.0334,16.740,0.051,21.4,9.659E-01,16.442,0.115,9.5,9.022E-01,13.431,null,-1.7,8.592E-01,9.801,null,-1.2,9.474E-01,1,0,0.002,0.000,0.000,0.000,-40,538,-189,499,dd00,0,0nnn,ABUU,0000,45,100,4,100,0,54,0,54
13,4.257876,-41.875623,2.7021597933E+16,9.4975862503E+00,-1.1195988655E+00,2.5424851931E+18,7.3840312958E+00,DA,7.6147973633E+03,1.0723731232E+02,8.0855531693E+00,8.9784973534E-04,spec-104618-59912-27021597933232281.fits,3.1089658737E+00,59912,J003759.23-010707.3,9.4967966,-1.1187182,0.1093,0.1135,-0.0298,15.386,0.041,26.4,1.256E+00,15.388,0.110,9.9,9.243E-01,12.066,null,1.0,9.982E-01,8.850,null,0.1,8.258E-01,1,0,0.000,0.000,0.000,0.000,467,372,344,393,0000,0,0nnn,ABUU,1111,23,23,6,23,0,11,0,11
