cntr_01,dist_x,pang_x,catalogid,ra,dec,gaia_dr3_source_id,snr_snowwhite,wd_type,teff_snowwhite,e_teff_snowwhite,logg_snowwhite,e_logg_snowwhite,spec_file,sn_median_all,mjd,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,cc_flags,ext_flg,var_flg,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m,tmass_key,j_m_2mass,j_msig_2mass,h_m_2mass,h_msig_2mass,k_m_2mass,k_msig_2mass
40,0.50415,113.551135,2.7021598865E+016,299.53622437,1.4798971415,4.2407107652E+018,33.96276474,DA,32587.552734,129.00431824,8.4043159485,0.00042746373219,spec-100980-59838-27021598864782315.fits,17.433357239,59838,J195808.72+012847.4,299.5363528,1.4798412,0.5743,0.6145,-0.1757,16.275,0.104,10.5,1.192,16.096,0.243,4.5,0.9949,12.804,null,-1.1,0.9929,9.144,null,-0.3,0.9106,1,0,0,0,0,0,0,0,1nnn,0,6,13,0,13,0,13,0,13,null,null,null,null,null,null,null
185,0.209278,-141.55718,2.7021597905E+016,245.27700806,43.690742493,1.3824827649E+018,220.7956543,DA,26808.636719,126.07144928,8.0262231827,0.00012077274732,spec-104636-59708-27021597905230062.fits,18.784193039,59708,J162106.46+434126.5,245.2769581,43.690697,1.0922,1.1976,0.1918,18.177,0.182,6,0.8536,17.981,null,-0.1,0.9719,13.647,null,0.2,0.9849,9.986,null,-1,1.037,1,0,0,0,0,0,0,0,nnnn,0,2,64,0,64,0,62,0,62,null,null,null,null,null,null,null
186,0.209278,-141.55718,2.7021597905E+016,245.27700806,43.690742493,1.3824827649E+018,220.7956543,DA,26808.636719,126.07144928,8.0262231827,0.00012077274732,spec-104636-59755-27021597905230062.fits,14.632853508,59755,J162106.46+434126.5,245.2769581,43.690697,1.0922,1.1976,0.1918,18.177,0.182,6,0.8536,17.981,null,-0.1,0.9719,13.647,null,0.2,0.9849,9.986,null,-1,1.037,1,0,0,0,0,0,0,0,nnnn,0,2,64,0,64,0,62,0,62,null,null,null,null,null,null,null
224,0.278989,-0.54165,2.702159796E+016,38.963920593,1.3124582767,2.5020972835E+018,718.97454834,DA,37735.9375,3.102076292,6.5,0,spec-104652-59881-27021597960182507.fits,21.965703964,59881,J023551.34+011845.1,38.9639199,1.3125358,0.1865,0.1907,-0.0505,15.231,0.036,30.5,0.9185,15.386,0.114,9.5,0.9959,12.978,null,-0.5,0.9048,9.451,null,-2.8,0.9468,1,0,0,0,0,0,0,0,01nn,1355,28,28,6,27,0,24,0,27,1098747559,15.438,0.047,15.206,0.071,15.208,0.135
225,0.278989,-0.54165,2.702159796E+016,38.963920593,1.3124582767,2.5020972835E+018,718.97454834,DA,37735.9375,3.102076292,6.5,0,spec-104652-59935-27021597960182507.fits,27.767240524,59935,J023551.34+011845.1,38.9639199,1.3125358,0.1865,0.1907,-0.0505,15.231,0.036,30.5,0.9185,15.386,0.114,9.5,0.9959,12.978,null,-0.5,0.9048,9.451,null,-2.8,0.9468,1,0,0,0,0,0,0,0,01nn,1355,28,28,6,27,0,24,0,27,1098747559,15.438,0.047,15.206,0.071,15.208,0.135
239,0.779335,52.645291,2.7021598151E+016,157.29040527,2.0979113579,3.8556317971E+018,36.745811462,DA,12739.853516,10.154104233,8.0318841934,0.00018254753377,spec-101262-59950-27021598151249520.fits,24.777591705,59950,J102909.73+020552.9,157.2905775,2.0980427,0.155,0.1642,0.0218,14.521,0.033,32.9,1.067,14.606,0.067,16.1,1.078,12.235,null,1.1,0.8082,8.492,null,2,1.106,1,0,0,0,0,0,0,0,01nn,1111,16,16,13,16,0,16,0,16,808894299,14.461,0.03,14.485,0.041,14.419,0.095
253,0.336825,-20.196228,2.7021598726E+016,310.04696655,-3.2791163921,4.2246432925E+018,39.491428375,DA,16289.694336,39.677127838,7.9205141068,0.00016823390615,spec-101058-59840-27021598725738357.fits,27.227657318,59840,J204011.26-031644.5,310.0469342,-3.2790286,0.3749,0.4045,-0.1123,15.938,0.067,16.1,0.8251,16.285,0.298,3.6,0.9811,12.553,null,-1.9,0.9378,9.154,null,-0.8,1.147,1,0,0,0,0,0,0,0,1nnn,1111,13,15,2,15,0,15,0,15,90182074,15.606,0.051,15.858,0.165,15.544,0.195
330,0.406013,6.324236,4592683939,139.23072815,4.1922326088,5.7938109384E+017,107.4651413,DA,15904.552734,0.66432726383,7.4762067795,0.000060286653024,spec-015262-59308-4592683939.fits,37.833099365,59308,J091655.37+041132.4,139.2307406,4.1923447,1.0918,1.2128,0.1807,17.165,0.191,5.7,0.7666,16.856,0.514,2.1,0.8199,12.563,null,-0.5,0.8235,8.929,null,0.1,0.9956,1,0,0,0,0,0,0,0,nnnn,0,1,11,0,11,0,10,0,10,null,null,null,null,null,null,null
331,0.406013,6.324236,4592683939,139.23072815,4.1922326088,5.7938109384E+017,107.4651413,DA,15904.552734,0.66432726383,7.4762067795,0.000060286653024,spec-015263-59309-4592683939.fits,37.376281738,59309,J091655.37+041132.4,139.2307406,4.1923447,1.0918,1.2128,0.1807,17.165,0.191,5.7,0.7666,16.856,0.514,2.1,0.8199,12.563,null,-0.5,0.8235,8.929,null,0.1,0.9956,1,0,0,0,0,0,0,0,nnnn,0,1,11,0,11,0,10,0,10,null,null,null,null,null,null,null
332,0.406013,6.324236,4592683939,139.23072815,4.1922326088,5.7938109384E+017,107.4651413,DA,15904.552734,0.66432726383,7.4762067795,0.000060286653024,spec-015263-59315-4592683939.fits,42.850311279,59315,J091655.37+041132.4,139.2307406,4.1923447,1.0918,1.2128,0.1807,17.165,0.191,5.7,0.7666,16.856,0.514,2.1,0.8199,12.563,null,-0.5,0.8235,8.929,null,0.1,0.9956,1,0,0,0,0,0,0,0,nnnn,0,1,11,0,11,0,10,0,10,null,null,null,null,null,null,null
