cntr_01,dist_x,pang_x,catalogid_01,ra_01,dec_01,designation,ra,dec,sigra,sigdec,sigradec,w1mpro,w1sigmpro,w1snr,w1rchi2,w2mpro,w2sigmpro,w2snr,w2rchi2,w3mpro,w3sigmpro,w3snr,w3rchi2,w4mpro,w4sigmpro,w4snr,w4rchi2,nb,na,w1sat,w2sat,w3sat,w4sat,pmra,sigpmra,pmdec,sigpmdec,cc_flags,ext_flg,var_flg,ph_qual,moon_lev,w1nm,w1m,w2nm,w2m,w3nm,w3m,w4nm,w4m
2,9.762327,-48.429634,4326216000,1.6303913116E+01,8.5355789185E+01,J010506.92+852127.3,16.2788469,85.3575881,0.0589,0.0576,0.0051,14.376,0.027,39.7,8.940E-01,14.450,0.039,27.8,8.547E-01,12.974,null,0.2,9.944E-01,9.276,null,-0.7,8.995E-01,1,0,0.000,0.000,0.000,0.000,-52,114,19,106,0000,0,00nn,AAUU,0000,54,54,54,54,0,24,0,24
3,0.320016,66.006506,4546314280,1.2103242493E+02,2.1809814453E+01,J080407.80+214835.4,121.0325124,21.8098506,0.2637,0.2921,0.0193,16.729,0.089,12.1,1.132E+00,16.699,null,1.4,1.027E+00,11.724,null,1.7,8.881E-01,8.559,null,0.8,1.143E+00,1,0,0.000,0.000,0.000,0.000,340,1072,-815,1190,0000,0,nnnn,AUUU,1100,8,24,0,24,0,12,0,12
4,6.979057,-25.991939,27021598146874635,2.0647134399E+02,-1.7620600462E+00,J134552.91-014537.1,206.4704940,-1.7603175,0.0393,0.0370,-0.0092,11.406,0.023,48.0,1.139E+00,11.445,0.021,51.1,9.573E-01,11.386,0.169,6.4,9.124E-01,9.145,null,-0.8,9.185E-01,1,0,0.000,0.000,0.000,0.000,-106,32,29,32,0000,0,01nn,AABU,1111,30,30,30,30,3,20,0,20
6,1.116345,-159.372812,27021597970777399,6.2628944397E+01,-1.8114591837E+00,J041030.92-014842.2,62.6288351,-1.8117494,0.4487,0.4788,-0.1394,17.368,0.149,7.3,9.370E-01,16.958,null,1.0,8.931E-01,11.862,null,1.1,9.580E-01,8.860,null,-1.2,9.553E-01,1,0,0.000,0.000,0.000,0.000,1073,1994,1331,2127,0000,0,nnnn,BUUU,0000,2,26,0,26,1,11,0,11
7,8.366622,40.153203,27021598721753901,3.0502703857E+02,-6.0154266357E+00,J202006.85-060049.1,305.0285455,-6.0136503,0.0992,0.1014,-0.0238,15.057,0.039,27.5,9.644E-01,15.108,0.086,12.6,9.424E-01,12.006,null,0.9,9.935E-01,8.749,null,-1.3,9.948E-01,1,0,0.000,0.000,0.000,0.000,42,286,35,301,0000,0,01nn,AAUU,1111,23,23,13,23,0,12,0,12
8,8.694965,127.721332,4347273869,2.5325146484E+02,7.2150932312E+01,J165301.84+720858.0,253.2576973,72.1494545,0.1446,0.1349,-0.0334,16.740,0.051,21.4,9.659E-01,16.442,0.115,9.5,9.022E-01,13.431,null,-1.7,8.592E-01,9.801,null,-1.2,9.474E-01,1,0,0.002,0.000,0.000,0.000,-40,538,-189,499,dd00,0,0nnn,ABUU,0000,45,100,4,100,0,54,0,54
9,4.257876,-41.875623,27021597933232281,9.4975862503E+00,-1.1195988655E+00,J003759.23-010707.3,9.4967966,-1.1187182,0.1093,0.1135,-0.0298,15.386,0.041,26.4,1.256E+00,15.388,0.110,9.9,9.243E-01,12.066,null,1.0,9.982E-01,8.850,null,0.1,8.258E-01,1,0,0.000,0.000,0.000,0.000,467,372,344,393,0000,0,0nnn,ABUU,1111,23,23,6,23,0,11,0,11
15,7.766672,56.525434,4555030723,1.2903416443E+02,2.6991943359E+01,J083608.68+265935.2,129.0361840,26.9931333,0.1814,0.1993,0.0131,16.141,0.066,16.4,9.669E-01,15.911,0.182,6.0,9.011E-01,12.220,null,0.2,8.913E-01,8.660,null,-0.7,9.474E-01,1,0,0.000,0.000,0.000,0.004,24,664,13,735,0000,0,0nnn,ABUU,1111,17,20,0,20,0,10,0,10
21,0.639231,104.794479,27021598864782315,2.9953622437E+02,1.4798971415E+00,J195808.73+012847.4,299.5363961,1.4798518,0.1638,0.1701,-0.0462,15.928,0.057,19.1,9.832E-01,16.796,0.420,2.6,1.026E+00,12.650,null,-1.1,1.010E+00,8.985,null,-0.3,9.127E-01,1,0,0.000,0.000,0.000,0.000,494,594,176,625,0000,0,0nnn,ACUU,0000,23,24,1,24,0,13,0,13
23,5.405633,14.127277,27021597836159141,3.4096032715E+02,6.4675262451E+01,J224350.68+644036.1,340.9611840,64.6767186,0.0853,0.0795,-0.0252,14.735,0.033,32.6,1.576E+00,15.201,0.077,14.2,1.055E+00,13.247,null,-1.4,8.409E-01,9.550,null,-0.2,1.007E+00,2,1,0.000,0.000,0.000,0.006,null,null,null,null,0h00,0,nnnn,AAUU,0000,64,64,26,64,0,40,0,40
